01-market-overview	Search the web for the most important Market Overview & Prices crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover BTC/ETH/SOL and major altcoin price action, market cap changes, Fear & Greed index, key technical levels, and weekly performance summary.
02-layer1-layer2	Search the web for the most important Layer 1 & Layer 2 crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover major chain upgrades, launches, and TVL shifts.
03-defi	Search the web for the most important DeFi crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover protocol launches, governance, yield developments, and TVL movements.
04-perp-dexes	Search the web for the most important Perpetual DEXes crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover volume records, new platforms, and market share shifts.
05-stablecoins	Search the web for the most important Stablecoins crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover supply changes, new issuers, and regulatory actions.
06-ai-crypto	Search the web for the most important AI x Crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover AI agent tokens, compute networks, and AI-integrated protocols.
07-prediction-markets	Search the web for the most important Prediction Markets crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover volume, new markets, and platform developments.
08-regulation-policy	Search the web for the most important Regulation & Policy crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover SEC/CFTC actions, legislation, and country-level moves.
09-fundraising-ma	Search the web for the most important Fundraising & M&A crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover notable raises, acquisitions, and token launches.
10-security-incidents	Search the web for the most important Security Incidents crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, source URLs where available, attack vectors, and dollar amounts. Be factual and specific, no speculation. Cover hacks, exploits, rug pulls, and fund recoveries.
11-upcoming-catalysts	Search the web for the most important Upcoming Catalysts in crypto over the next 1-2 weeks. Focus on Messari and The Block as primary sources but include other major outlets. List the top 5-8 developments with dates, brief descriptions, source URLs where available, affected assets, and likely market relevance. Be factual and specific, no speculation. Cover token unlocks, mainnet launches, governance votes, conferences, ETF decisions, and protocol upgrades.
12-ecosystem-infrastructure	Search the web for the most important Ecosystem & Infrastructure crypto news from the past 7 days. Focus on Messari and The Block as primary sources but include other major outlets. List the top 3-5 developments with brief descriptions, dates, and source URLs where available. Be factual and specific, no speculation. Cover wallets, bridges, oracles, and tooling.
13-synthesis	What were the single biggest crypto industry stories of the past 7 days? Give me the top 5 most impactful events across all sectors. Prioritize Messari and The Block coverage. Include dates, short explanations, and source URLs where available.
